Operator,Supported,Supported_Bf16,MLLib/TemplatedGraph/Psuedo_Int8/Microkernel,MLLib/TemplatedGraph/Psuedo_Bf16/Microkernel,Kernel_Name_Int8
PRelu,FALSE,FALSE,MLlib,MLlib,
Range,FALSE,FALSE,Pseudo,Pseudo,
ReduceL1,FALSE,FALSE,Unknown,Unknown,
ReduceL2,FALSE,FALSE,Unknown,Unknown,
ReduceLogSum,FALSE,FALSE,Unknown,Unknown,
ReduceLogSumExp,FALSE,FALSE,Unknown,Unknown,
ReduceSumSquare,FALSE,FALSE,Unknown,Unknown,
Relu,TRUE,TRUE,MLLib,MLLib,
Selu,FALSE,FALSE,MLlib,MLlib,
SequenceMap,FALSE,FALSE,Unknown,Unknown,
Shrink,FALSE,FALSE,Unknown,Unknown,
Softmax,FALSE,FALSE,Microkernel,MLlib,
SoftmaxCrossEntropyLoss,FALSE,FALSE,Unknown,Unknown,
Softplus,FALSE,FALSE,MLlib,MLlib,
Softsign,FALSE,FALSE,Unknown,Unknown,
ThresholdedRelu,FALSE,FALSE,MLlib,MLlib,
